%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 1
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:AlgorithmCondition,BlockNumber,Trial,CurrentNLevel,LureRate,IsCorrect,StimulusType,StimulusColor,PresentationTime(R),PresentationTime(A),ResponseTime(R),ResponseTime(A),ExpireTime(R),ExpireTime(A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,Gray=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,LessThanN=3,
3,4,16,1,0.3,1,0,7,586.2537,1488237520621,-1,-1,585.7207,1488237520093
3,4,17,1,0.3,1,2,3,589.2867,1488237523654,-1,-1,588.7864,1488237523158
3,4,18,1,0.3,1,0,5,592.3201,1488237526688,-1,-1,591.7868,1488237526159
3,4,19,1,0.3,1,2,7,595.3536,1488237529721,-1,-1,594.8205,1488237529193
3,4,20,1,0.3,1,2,3,598.3871,1488237532755,-1,-1,597.8538,1488237532230
3,4,21,1,0.3,1,0,1,601.4208,1488237535788,-1,-1,600.8882,1488237535264
3,4,22,1,0.3,1,2,3,604.521,1488237538889,-1,-1,603.9542,1488237538331
3,4,23,1,0.3,1,2,1,607.5883,1488237541956,-1,-1,607.0544,1488237541427
3,4,24,1,0.3,1,1,1,610.6547,1488237545022,611.288,1488237545656,610.1213,1488237544493
3,4,25,1,0.3,1,1,1,613.7217,1488237548089,614.3548,1488237548723,613.188,1488237547561
3,4,26,1,0.3,1,0,0,616.8215,1488237551189,-1,-1,616.2548,1488237550627
3,4,27,1,0.3,1,2,1,619.8551,1488237554223,-1,-1,619.3222,1488237553695
3,4,28,1,0.3,1,0,6,622.9219,1488237557289,-1,-1,622.3552,1488237556728
3,4,29,1,0.3,1,1,6,625.9886,1488237560356,627.3221,1488237561690,625.4224,1488237559796
3,4,30,1,0.3,1,1,6,629.0557,1488237563423,630.2223,1488237564590,628.4889,1488237562867
3,4,31,1,0.3,1,0,4,632.1225,1488237566490,-1,-1,631.5557,1488237565930
3,4,32,1,0.3,1,1,4,635.1895,1488237569559,635.7902,1488237570158,634.6559,1488237569030
3,4,33,1,0.3,1,0,7,638.2565,1488237572624,-1,-1,637.6896,1488237572063
3,4,34,1,0.3,1,0,3,641.3562,1488237575724,-1,-1,640.7899,1488237575163
3,4,35,1,0.3,1,0,5,644.4232,1488237578791,-1,-1,643.8564,1488237578231
3,4,36,1,0.3,1,1,5,647.4901,1488237581858,648.2566,1488237582625,646.9255,1488237581297
3,4,37,1,0.3,1,0,6,650.5568,1488237584924,-1,-1,650.0234,1488237584397
3,4,38,1,0.3,1,1,6,653.6243,1488237587992,654.257,1488237588625,653.057,1488237587430
3,4,39,1,0.3,1,2,5,656.6572,1488237591025,-1,-1,656.157,1488237590529
3,4,40,1,0.3,1,1,5,659.7256,1488237594093,660.324,1488237594692,659.1905,1488237593563
3,5,0,1,0.3,1,3,1,664.6912,1488237599059,-1,-1,664.1575,1488237598531
3,5,1,1,0.3,1,1,1,667.7577,1488237602125,668.2911,1488237602659,667.1926,1488237601567
3,5,2,1,0.3,1,0,4,670.7916,1488237605159,-1,-1,670.2579,1488237604634
3,5,3,1,0.3,1,0,6,673.8581,1488237608226,-1,-1,673.2938,1488237607667
3,5,4,1,0.3,1,2,1,676.9249,1488237611293,-1,-1,676.3586,1488237610735
3,5,5,1,0.3,1,0,3,679.9916,1488237614359,-1,-1,679.425,1488237613798
3,5,6,1,0.3,1,1,3,683.0587,1488237617426,684.6254,1488237618993,682.492,1488237616864
3,5,7,1,0.3,1,0,5,686.0943,1488237620462,-1,-1,685.559,1488237619931
3,5,8,1,0.3,1,0,4,689.1923,1488237623560,-1,-1,688.6256,1488237622998
3,5,9,1,0.3,1,0,0,692.2594,1488237626627,-1,-1,691.6924,1488237626066
3,5,10,1,0.3,1,2,5,695.3593,1488237629727,-1,-1,694.7927,1488237629168
3,5,11,1,0.3,1,0,7,698.3929,1488237632760,-1,-1,697.8595,1488237632233
3,5,12,1,0.3,1,2,5,701.4601,1488237635828,-1,-1,700.8933,1488237635267
3,5,13,1,0.3,1,0,1,704.5599,1488237638928,-1,-1,703.9932,1488237638365
3,5,14,1,0.3,1,0,6,707.6599,1488237642027,-1,-1,707.0934,1488237641465
3,5,15,1,0.3,1,0,0,710.6935,1488237645061,-1,-1,710.1604,1488237644534
3,5,16,1,0.3,1,2,1,713.7605,1488237648128,-1,-1,713.1939,1488237647569
3,5,17,1,0.3,0,1,1,716.8273,1488237651195,-1,-1,716.2938,1488237650670
3,5,18,1,0.3,1,1,1,719.8941,1488237654262,720.5274,1488237654895,719.3606,1488237653733
3,5,19,1,0.3,1,0,7,722.9276,1488237657295,-1,-1,722.3942,1488237656770
3,5,20,1,0.3,1,0,4,725.9944,1488237660362,-1,-1,725.4277,1488237659802
3,5,21,1,0.3,1,2,1,729.0613,1488237663429,-1,-1,728.4945,1488237662866
3,5,22,1,0.3,1,1,1,732.1281,1488237666496,732.9281,1488237667296,731.5614,1488237665936
3,5,23,1,0.3,1,0,7,735.1619,1488237669530,-1,-1,734.6282,1488237669000
3,5,24,1,0.3,1,1,7,738.2285,1488237672596,739.0623,1488237673430,737.695,1488237672068
3,5,25,1,0.3,1,2,1,741.2952,1488237675663,-1,-1,740.7285,1488237675101
3,5,26,1,0.3,1,0,5,744.3289,1488237678696,-1,-1,743.7953,1488237678169
3,5,27,1,0.3,1,0,2,747.4289,1488237681796,-1,-1,746.8622,1488237681236
